url,listing_avg_package,listing_highest_package,listing_placement_percentage,listing_rank
https://collegedunia.com/college/23765-aditya-institute-of-management-studies-and-research-aimsr-mumbai,"7,75,000","25,00,000",,#2
https://collegedunia.com/college/19881-bibi-fatima-teachers-training-college-bfttc-samastipur,,,,#3
https://collegedunia.com/college/28936-vsm-institute-of-technology-vsmit-belgaum,,,,#4
https://collegedunia.com/college/56329-government-first-grade-college-mysore,,,,#5
https://collegedunia.com/college/62163-dattakala-institute-pune,,,,#6
https://collegedunia.com/college/6517-anand-niketan-college-of-agriculture-chandrapur,,,,#7
https://collegedunia.com/college/18761-shiva-institute-of-management-studies-sims-ghaziabad,,,,#8
https://collegedunia.com/college/55141-university-of-design-innovation-and-technology-new-delhi,"7,50,000","12,00,000",,#9
https://collegedunia.com/college/6667-mgm-college-of-agricultural-biotechnology-aurangabad,,,,#10
https://collegedunia.com/college/16515-deoband-college-of-higher-education-saharanpur,,,,#1
https://collegedunia.com/university/59189-indrashil-university-rajpur-kadi,"4,50,000","32,00,000",,#2
https://collegedunia.com/college/56372-government-first-grade-college-alur,,,,#3
https://collegedunia.com/college/1095-dinhata-college-cooch-behar,,,,#4
https://collegedunia.com/college/9289-balaji-college-of-pharmacy-anantapur,,,,#5
https://collegedunia.com/college/45739-om-engineering-college-oec-junagadh,,,,#6
https://collegedunia.com/college/1125-doranda-college-dc-ranchi,"3,74,000","4,58,000",,#7
https://collegedunia.com/college/21147-kullu-college-of-education-kullu,,,,#8
https://collegedunia.com/college/23770-akal-degree-college-for-women-sangrur,,,,#9
https://collegedunia.com/college/14985-secab-institute-of-engineering-and-technology-siet-bijapur,"4,50,000","6,00,000",,#10
https://collegedunia.com/college/58741-dimr-business-school-pune-pune,,"4,00,000",,#1
https://collegedunia.com/college/9723-narayana-pharmacy-college-nellore,,,,#2
https://collegedunia.com/college/2036-jat-arts-science-and-commerce-college-for-women-malegaon-nashik,,,,#3
https://collegedunia.com/college/22436-sardar-patel-college-of-education-spcoe-gurgaon,,,,#4
https://collegedunia.com/college/27920-bansal-group-of-institutes-bhopal,"4,50,000","57,40,000",,#5
https://collegedunia.com/college/58642-rakshpal-bahadur-college-of-pharmacy-rbcp-bareilly,"3,50,000","7,32,000",,#6
https://collegedunia.com/college/19801-bethesda-women-teachers-training-bed-college-bwttc-ranchi,,,,#7
https://collegedunia.com/college/15049-shree-devi-institute-of-technology-sdit-mangalore,"3,12,000","5,06,000",,#8
https://collegedunia.com/college/58184-bharat-school-of-pharmacy-hyderabad,,,,#9
https://collegedunia.com/college/19742-baihata-chariali-bed-college-nalbari,,,,#10
https://collegedunia.com/college/28779-mauli-group-of-institutions-college-of-engineering-and-technology-buldhana,"2,60,000","5,50,000",,#1
https://collegedunia.com/college/9437-gayatri-institute-of-science-and-technology-gist-gunupur,,,,#2
https://collegedunia.com/college/596-bharatratna-dr-babasaheb-ambedkar-mahavidyalaya-pune,,,,#3
https://collegedunia.com/college/1090-dimapur-government-college-dimapur,,,,#4
https://collegedunia.com/college/60289-sal-institute-of-pharmacy-salip-ahmedabad,,,,#5
https://collegedunia.com/college/6650-institute-of-agri-business-management-iabm-bikaner,,,,#6
https://collegedunia.com/college/3088-ndrk-first-grade-college-ndrkfgc-hassan,,,,#7
https://collegedunia.com/college/56008-aasee-college-of-education-karur,,,,#8
https://collegedunia.com/college/55861-community-institute-of-management-studies-cims-bangalore,"4,50,000","8,00,000",,#9
https://collegedunia.com/college/55880-maa-saraswati-institute-of-engineering-and-technology-msiet-rohtak,,,,#10
https://collegedunia.com/college/62031-dinesh-bembade-college-of-pharmacy-latur,,,,#1
https://collegedunia.com/college/56143-svs-college-of-education-pudukkottai,,,,#2
https://collegedunia.com/university/14509-noorul-islam-centre-for-higher-education-niche-kanyakumari,,,,#3
https://collegedunia.com/college/58332-shyamlal-pandiviya-govt-post-graduate-colllege-morar-gwalior,,,,#4
https://collegedunia.com/college/63931-ss-jain-subodh-girls-pg-college-jaipur,"2,40,000","6,00,000",,#5
https://collegedunia.com/college/21073-kawa-college-of-education-jammu,,,,#6
https://collegedunia.com/college/55347-providence-college-of-engineering-chengannur,"2,00,000","3,60,000",,#7
https://collegedunia.com/college/59140-niis-institute-of-business-administration-bhubaneswar,,,,#8
https://collegedunia.com/college/9460-grace-college-of-pharmacy-palakkad,,,,#9
https://collegedunia.com/college/2362-karimpur-pannadevi-college-nadia,,,,#10
https://collegedunia.com/college/4537-sir-sayyed-college-of-arts-commerce-and-science-sscacs-aurangabad,,,,#1
