url,listing_avg_package,listing_highest_package,listing_placement_percentage,listing_rank
https://collegedunia.com/college/57368-sadhu-vaswani-institute-of-management-studies-for-girls-svims-pune,"2,60,000","10,00,000",,#10
https://collegedunia.com/college/258-ansar-arabic-college-aac-malappuram,,,,#1
https://collegedunia.com/college/3576-rabindra-mahavidyalaya-hooghly,,,,#2
https://collegedunia.com/university/63892-kaushalya-the-skill-university-ksu-ahmedabad,,,,#3
https://collegedunia.com/college/13526-gandhi-institute-for-education-and-technology-giet-bhubaneswar,"3,40,000","8,00,000",,#4
https://collegedunia.com/college/9901-sahyadri-college-of-pharmacy-solapur,,,,#5
https://collegedunia.com/university/62380-bir-tikendrajit-university-imphal,,,,#6
https://collegedunia.com/college/14648-rk-college-of-engineering-rkce-vijayawada,,"3,50,000",,#7
https://collegedunia.com/college/2716-magadh-mahila-college-patna,,,,#8
https://collegedunia.com/college/45949-annasaheb-waghire-college-of-science-arts-and-commerce-otur-pune,,,,#9
https://collegedunia.com/college/59584-f-i-pharmacy-college-lucknow,,,,#10
https://collegedunia.com/college/9018-saraswati-vidya-mandir-law-college-svmlc-bulandshahr,,,,#1
https://collegedunia.com/college/14699-raj-kumar-goel-institute-of-technology-and-management-rkgitm-ghaziabad,,,,#2
https://collegedunia.com/university/1341-gangadhar-meher-university-sambalpur,,,,#3
https://collegedunia.com/college/28743-mahendra-college-of-engineering-salem,,"12,00,000",,#4
https://collegedunia.com/college/9585-kt-patil-college-of-pharmacy-ktpcop-osmanabad,,,,#5
https://collegedunia.com/college/59872-kumararani-meena-muthiah-college-of-arts-and-science-krmmcas-chennai,,"3,60,000",,#6
https://collegedunia.com/college/3405-pazhassi-raja-nss-college-prnss-mattanur-kannur,,,,#7
https://collegedunia.com/college/2682-mv-college-buxar,,,,#8
https://collegedunia.com/college/56120-nadar-mahajana-sangam-svellaichamy-nadar-college-of-education-madurai,,,,#9
https://collegedunia.com/college/28766-psv-college-of-engineering-and-technology-pvscet-krishnagiri,"3,50,000","6,00,000",71%,#10
https://collegedunia.com/college/1893-heramba-chandra-college-hcc-kolkata,"2,49,000","9,24,000",,#1
https://collegedunia.com/college/63005-vindhya-gurukul-college-of-pharmacy-mirzapur,,,,#2
https://collegedunia.com/college/59591-heeralal-yadav-group-of-colleges-lucknow,,,,#3
https://collegedunia.com/college/21464-marthoma-teachers-training-college-edakulam-ranny,,,,#4
https://collegedunia.com/college/28678-lenora-college-of-engineering-east-godavari,,,,#5
https://collegedunia.com/college/9504-ideal-college-of-pharmacy-thane,,,,#6
https://collegedunia.com/university/59848-gujarat-maritime-university-gmu-gandhinagar,"5,20,000","9,60,000",,#7
https://collegedunia.com/college/23080-sri-guru-angad-college-of-education-sgad-amritsar,,,,#8
https://collegedunia.com/college/9745-nootan-pharmacy-college-visnagar,,,,#9
https://collegedunia.com/college/9371-deccan-school-of-pharmacy-dsop-hyderabad,,,,#10
https://collegedunia.com/college/8778-iimt-law-college-meerut,,,,#1
https://collegedunia.com/college/23250-st-pauls-college-of-education-prakasam,,,,#2
https://collegedunia.com/college/13240-college-of-engineering-thalassery-kannur,,,,#3
https://collegedunia.com/college/17037-aj-institute-of-management-ajim-mangalore,,"16,00,000",,#4
https://collegedunia.com/college/9897-sagar-institute-of-pharmaceutical-sciences-sips-sagar,,,,#5
https://collegedunia.com/college/20560-guru-nanak-college-of-education-hoshiarpur,,,,#6
https://collegedunia.com/college/14060-lbs-college-of-engineering-lbscek-kasaragod,,,,#7
https://collegedunia.com/college/58395-tara-devi-harakh-chand-kankaria-jain-college-kolkata,,,,#8
https://collegedunia.com/college/59829-united-college-of-pharmacy-coimbatore,,,,#9
https://collegedunia.com/college/58676-shri-atal-bihari-vajpai-govt-arts-and-commerce-college-gacc-indore,"3,50,000","8,60,000",,#10
https://collegedunia.com/college/64147-vasudev-college-of-law-vcl-haldwani,,,,#1
https://collegedunia.com/college/56156-sarah-college-of-education-for-women-erode,,,,#2
https://collegedunia.com/university/26026-west-bengal-university-of-animal-and-fishery-sciences-kolkata,"5,00,000","6,68,000",100%,#3
https://collegedunia.com/university/25627-tumkur-university-tumkur,"3,25,000","8,00,000",,#4
https://collegedunia.com/university/59442-odisha-state-open-university-osou-sambalpur,,,,#5
https://collegedunia.com/college/58630-nkbr-college-of-pharmacy-and-research-centre-meerut,,,,#6
https://collegedunia.com/college/59966-aryans-college-of-law-chandigarh,,,,#7
https://collegedunia.com/college/23141-sri-sai-college-of-education-ssce-pathankot,,,,#8
https://collegedunia.com/college/14243-malla-reddy-institute-of-engineering-and-technology-mriet-secunderabad,"4,50,000","12,00,000",,#9
https://collegedunia.com/college/16733-nandha-arts-and-science-college-erode,,,,#10
https://collegedunia.com/college/63122-hindustan-college-of-pharmacy-kanjirappally,,,,#1
https://collegedunia.com/university/56463-pratap-university-pu-jaipur,"10,00,000","68,00,000",,#2
https://collegedunia.com/college/60686-rao-birender-singh-state-institute-of-engineering-and-technology-rbs-siet-rewari,,,,#3
