url,listing_avg_package,listing_highest_package,listing_placement_percentage,listing_rank
https://collegedunia.com/college/65199-government-medical-college-churu,,,,#284
https://collegedunia.com/university/28802-mody-university-sikar,"11,15,000","32,88,000",,#163
https://collegedunia.com/college/58481-pacific-dental-college-and-research-center-pdcrc-udaipur,,,,#227
https://collegedunia.com/college/14719-rajasthan-institute-of-engineering-and-technology-riet-jaipur,"8,00,000","70,00,000",,
https://collegedunia.com/college/65209-government-medical-college-sriganganagar,,,,#291
https://collegedunia.com/college/5526-aayojan-school-of-architecture-asa-jaipur,,,,#34
https://collegedunia.com/college/65214-government-medical-college-alwar,,,,#294
https://collegedunia.com/college/65205-government-medical-college-chittorgarh,,,,#303
https://collegedunia.com/college/65213-government-medical-college-dausa,,,,#306
https://collegedunia.com/college/65208-government-medical-college-sirohi,,,,#315
https://collegedunia.com/university/59947-shri-khushal-das-university-skdu-hanumangarh,,,,
https://collegedunia.com/college/65212-government-medical-college-bundi,,,,#318
https://collegedunia.com/college/59280-poddar-management-and-technical-campus-jaipur,"8,50,000","24,00,000",,#194
https://collegedunia.com/college/65210-government-medical-college-dholpur,,,,#323
https://collegedunia.com/college/65215-government-medical-college-karauli,,,,#331
https://collegedunia.com/university/59954-shyam-university-dausa,"3,70,000","10,00,000",,
https://collegedunia.com/college/60013-ananta-institute-of-hotel-management-and-allied-studies-aihmas-jaipur,,,,
https://collegedunia.com/college/63726-biyani-group-of-colleges-jaipur,"3,50,000","18,00,000",,
https://collegedunia.com/university/59939-apex-university-au-jaipur,"10,00,000","36,00,000",,
https://collegedunia.com/college/65218-government-medical-college-jhunjhunu,,,,#363
https://collegedunia.com/university/25801-career-point-university-cpu-kota,,"33,00,000",,
https://collegedunia.com/university/60431-bhupal-nobles-university-bnu-udaipur,,,,
https://collegedunia.com/university/25836-pacific-university-udaipur,"4,50,000","15,00,000",,
https://collegedunia.com/college/56378-agrawal-pg-college-jaipur,"4,00,000","8,00,000",,
https://collegedunia.com/university/60388-mahatma-gandhi-university-of-medical-science-and-technology-jaipur,,,,#460
https://collegedunia.com/university/25821-jodhpur-national-university-jnu-jodhpur,,,,
https://collegedunia.com/university/58455-pacific-medical-university-pmu-udaipur,,,,#482
https://collegedunia.com/college/60357-rr-dental-college-and-hospital-rrdch-udaipur,,,,#304
https://collegedunia.com/college/60715-arya-college-jaipur,"4,20,000","32,00,000",,
https://collegedunia.com/college/4887-st-xaviers-college-jaipur-jaipur,,,,
https://collegedunia.com/university/25844-sangam-university-su-bhilwara,"3,50,000","13,50,000",,#113
https://collegedunia.com/university/60420-maharaj-vinayak-global-university-mvgu-jaipur,,,,
https://collegedunia.com/college/22147-regional-institute-of-education-rie-ajmer,,,,#21
https://collegedunia.com/college/7609-government-dental-college-and-hospital-gdch-jaipur,"3,80,000","7,50,000",,#320
https://collegedunia.com/college/10441-geetanjali-medical-college-and-hospital-gmc-udaipur,,,,#441
https://collegedunia.com/college/60460-st-wilfreds-institute-of-engineering-and-technology-ajmer,"3,50,000","7,90,000",,#226
https://collegedunia.com/university/25846-singhania-university-jhunjhunu,,,,
