url,listing_avg_package,listing_highest_package,listing_placement_percentage,listing_rank
https://collegedunia.com/college/10627-karpaga-vinayaga-institute-of-medical-sciences-and-research-center-kims-and-rc-chengalpattu,,,,#521
https://collegedunia.com/college/5604-jkk-munirajah-school-of-architecture-jkkmsa-erode,,,,
https://collegedunia.com/college/5617-mam-school-of-architecture-tiruchirappalli,,,,
https://collegedunia.com/college/18900-st-peters-institute-of-distance-education-chennai,,,,
https://collegedunia.com/college/57776-dhanalakshmi-srinivasan-institute-of-technology-dsit-tiruchirappalli,,,,
https://collegedunia.com/college/55951-university-of-madras-institute-of-distance-education-chennai,,,,#8
https://collegedunia.com/college/60614-davinci-school-of-design-and-architecture-chennai,,,,
https://collegedunia.com/college/63223-sigma-college-of-architecture-sica-kanyakumari,,,,
https://collegedunia.com/college/63274-prime-nest-college-of-architecture-and-planning-tiruchirappalli,,,,
https://collegedunia.com/college/63999-kongu-school-of-architecture-perundurai-perundurai,,,,#15
https://collegedunia.com/college/64738-caadchennai-academy-of-architecture-and-design-chennai,,,,
https://collegedunia.com/college/65359-school-of-architecture-ciet-coimbatore,,,,
https://collegedunia.com/college/19131-srm-valliammai-engineering-college-vec-kanchipuram,"2,08,000","3,25,000",,#172
https://collegedunia.com/college/62847-alagappa-university-online-karaikudi,,,,
https://collegedunia.com/college/45372-muslim-arts-college-kanyakumari,,,,
https://collegedunia.com/college/15322-st-michael-college-of-engineering-and-technology-sivaganga,,,,#164
https://collegedunia.com/college/55610-seethalakshmi-ramaswami-college-src-tiruchirappalli,,,,#151
https://collegedunia.com/university/25873-bharathidasan-university-bu-tiruchirappalli,,,,#61
https://collegedunia.com/college/55464-annapoorna-medical-college-and-hospitals-amch-salem,,,,#549
https://collegedunia.com/college/64598-madha-medical-college-and-research-institute-chennai,,,,#555
https://collegedunia.com/college/7139-indian-institute-of-logistics-chennai,,,,
https://collegedunia.com/college/55527-karaikudi-institute-of-technology-and-management-kit-and-kim-karaikudi,,,,#225
https://collegedunia.com/college/4748-sri-jayendra-saraswathy-maha-vidyalaya-college-of-arts-and-science-coimbatore,,,,
https://collegedunia.com/college/9760-psg-college-of-pharmacy-psgcp-coimbatore,,,,#67
https://collegedunia.com/college/60409-sms-college-of-arts-and-science-coimbatore,,,,
https://collegedunia.com/college/28766-psv-college-of-engineering-and-technology-pvscet-krishnagiri,"3,50,000","6,00,000",,#139
https://collegedunia.com/college/64600-tagore-medical-college-and-hospital-chennai,,,,#574
https://collegedunia.com/college/5276-valluvar-college-of-science-and-management-karur,,,,
https://collegedunia.com/college/9719-nandha-college-of-pharmacy-ncp-erode,,,,#77
https://collegedunia.com/college/55717-sri-venkateswara-college-of-computer-applications-and-management-svccam-coimbatore,"7,56,000","9,00,000",,
https://collegedunia.com/university/25906-tamil-nadu-teachers-education-university-tnteu-chennai,,,,#167
https://collegedunia.com/college/65231-kumaraguru-school-of-business-coimbatore,,,,
https://collegedunia.com/college/16934-subbalakshmi-lakshmipathy-college-of-science-slcs-madurai,,,,
https://collegedunia.com/college/45328-meenakshi-sundararajan-school-of-management-chennai,,,,
https://collegedunia.com/college/55481-arulmigu-kalasalingam-college-of-pharmacy-akcp-krishnankovil,,,,#93
https://collegedunia.com/university/25899-sri-chandrasekharendra-saraswathi-viswa-mahavidyalaya-scsvmv-university-kanchipuram,,"10,00,000",,#151
https://collegedunia.com/college/64590-arunai-medical-college-and-hospital-tiruvannamalai,,,,#608
https://collegedunia.com/college/64594-panimalar-medical-college-hospital-and-research-institute-chennai,,,,#610
https://collegedunia.com/college/14111-loyola-institute-of-technology-lit-chennai,,,,#233
https://collegedunia.com/college/64592-indira-medical-college-and-hospitals-thiruvallur,,,,#612
https://collegedunia.com/college/8034-madras-institute-of-hotel-management-and-catering-technology-mihmct-chennai,,,,
https://collegedunia.com/college/55924-bharathiar-university-school-of-distance-education-busde-coimbatore,,,,
https://collegedunia.com/college/64599-swamy-vivekananda-medical-college-and-hospital-and-research-institute-namakkal,,,,#614
https://collegedunia.com/college/55530-national-institute-for-empowerment-of-persons-with-multiple-disabilities-niepmd-chennai,,,,#199
https://collegedunia.com/college/15243-sri-ramakrishna-engineering-college-srec-coimbatore,,"24,00,000",,#58
https://collegedunia.com/college/56330-chennai-medical-college-hospital-and-research-centre-tiruchirappalli,,,,#618
https://collegedunia.com/university/54841-mother-teresa-womens-university-dindigul,,,,
https://collegedunia.com/college/55615-sree-amman-arts-and-science-college-saasc-erode,,,,
https://collegedunia.com/college/56390-all-india-institute-of-technology-and-management-aiitm-chennai,,,,#75
https://collegedunia.com/college/25912-vel-tech-high-tech-drrangarajan-drsakunthala-engineering-college-chennai,"3,00,000","7,00,000",,#136
https://collegedunia.com/college/16081-pavendar-bharathidasan-college-of-arts-and-science-pabcas-tiruchirappalli,,,,
https://collegedunia.com/college/55508-kmch-college-of-pharmacy-coimbatore,,,,#130
https://collegedunia.com/college/55571-pioneer-college-of-arts-and-science-perianaickenpalayam-coimbatore,,,,#221
https://collegedunia.com/college/55727-velammal-medical-college-and-hospital-research-institute-vmchri-madurai,,,,#632
https://collegedunia.com/university/25878-gandhigram-rural-institute-gri-dindigul,,,,#151
https://collegedunia.com/college/56288-bharathiar-school-of-management-and-entrepreneur-development-bsmed-coimbatore,"6,00,000","10,00,000",,
https://collegedunia.com/college/3261-nirmala-college-for-women-coimbatore,,,,#59
https://collegedunia.com/college/55429-cheran-arts-and-science-college-kangayam,,,,
https://collegedunia.com/college/16532-dr-gr-damodaran-college-of-science-grdcs-coimbatore,,,,#201
https://collegedunia.com/university/25886-madurai-kamaraj-university-mku-madurai,,,,#7
https://collegedunia.com/college/1176-dr-mgr-janaki-college-of-arts-and-science-for-women-chennai,"2,00,000","5,05,000",,
https://collegedunia.com/college/5363-virudhunagar-hindu-nadars-senthikumara-nadar-college-vhnsnc-virudhunagar,,"3,30,000",,#149
https://collegedunia.com/college/9024-the-tamil-nadu-dr-ambedkar-law-university-school-of-excellence-in-law-soel-chennai,,,,
https://collegedunia.com/college/55925-alagappa-university-directorate-of-distance-education-dde-karaikudi,,,,
https://collegedunia.com/college/2-alpha-arts-and-science-college-chennai,,,,
https://collegedunia.com/university/25860-academy-of-maritime-education-and-training-university-amet-chennai,,,,#205
https://collegedunia.com/college/3949-ssm-college-of-arts-and-science-namakkal,,,,
