url,listing_avg_package,listing_highest_package,listing_placement_percentage,listing_rank
https://collegedunia.com/college/7797-vananchal-dental-college-garhwa,,,,#7
https://collegedunia.com/university/55139-the-northcap-university-ncu-gurgaon,"10,14,000","28,00,000",90%,#8
https://collegedunia.com/college/27853-srm-business-school-srmbs-lucknow,,,,#9
https://collegedunia.com/college/57926-kh-patil-institute-of-medical-sciences-gadag-gadag,,,,#10
https://collegedunia.com/college/7854-bfit-group-of-institutions-bfit-dehradun,,,,#1
https://collegedunia.com/college/59520-university-college-of-engineering-panruti-anna-university-ucep-cuddalore,,,,#2
https://collegedunia.com/college/59244-maharana-pratap-group-of-institutions-mpgi-kanpur,"5,50,000","46,00,000",,#3
https://collegedunia.com/university/25899-sri-chandrasekharendra-saraswathi-viswa-mahavidyalaya-scsvmv-university-kanchipuram,,"10,00,000",,#4
https://collegedunia.com/college/63059-autonomous-state-medical-college-asmc-basti,,,,#5
https://collegedunia.com/college/15223-sri-krishna-college-of-technology-skct-coimbatore,,"44,00,000",,#6
https://collegedunia.com/college/15492-prestige-institute-of-management-and-research-pimr-bhopal,"5,20,000","11,40,000",,#7
https://collegedunia.com/university/25358-jawaharlal-nehru-architecture-and-fine-arts-university-jnafau-hyderabad,,,,#8
https://collegedunia.com/college/16689-mafatlal-gagalbhai-science-institute-mgsi-ahmedabad,,,,#9
https://collegedunia.com/college/7546-awadh-dental-college-and-hospital-jamshedpur,,,,#10
https://collegedunia.com/university/54841-mother-teresa-womens-university-dindigul,,,,#1
https://collegedunia.com/college/57886-government-medical-college-gmc-jalaun,,,,#2
https://collegedunia.com/college/60074-ghani-khan-choudhury-institute-of-engineering-and-technology-gkciet-malda,"4,00,000","6,00,000",,#3
https://collegedunia.com/college/17717-govindram-seksaria-institute-of-management-and-research-gsimr-indore,"6,00,000","15,00,000",,#4
https://collegedunia.com/college/5542-bharati-vidyapeeth-college-of-architecture-bvcoa-navi-mumbai-mumbai,"2,50,000","3,60,000",,#5
https://collegedunia.com/college/7659-kalka-dental-college-meerut,,,,#6
https://collegedunia.com/college/8671-chotanagpur-law-college-clc-ranchi,,,,#7
https://collegedunia.com/college/11028-sree-chitra-tirunal-institute-for-medical-sciences-and-technology-sctimst-thiruvananthapuram,,,,#8
https://collegedunia.com/college/24114-jk-institute-of-applied-physics-and-technology-allahabad,,,,#9
https://collegedunia.com/university/60765-united-university-allahabad,,"8,53,000",,#10
https://collegedunia.com/college/13692-hms-institute-of-technology-hmsit-tumkur,,,,#1
https://collegedunia.com/college/7568-chandra-dental-college-and-hospital-barabanki,,,,#2
https://collegedunia.com/university/5553-chandigarh-college-of-engineering-and-technology-ccet-chandigarh,"7,00,000","25,00,000",,#3
https://collegedunia.com/university/25671-jiwaji-university-ju-gwalior,,"5,00,000",,#4
https://collegedunia.com/college/10556-institute-of-dental-science-bareilly,,,,#5
https://collegedunia.com/university/25745-university-of-science-and-technology-ustm-ribhoi,,"13,58,000",,#6
https://collegedunia.com/college/56606-vijayanagar-institute-of-medical-sciences-vims-bellary,,,,#7
https://collegedunia.com/college/7153-institute-of-aeronautical-engineering-iare-hyderabad,"7,00,000","60,00,000",80%,#8
https://collegedunia.com/college/62245-federal-institute-of-hotel-management-fihm-noida,"3,20,000","6,00,000",,#9
https://collegedunia.com/college/4539-sir-syed-college-kannur,,,,#10
https://collegedunia.com/college/7723-purvanchal-institute-of-dental-sciences-pids-gorakhpur,,,,#1
https://collegedunia.com/university/25917-tripura-university-west-tripura,"9,44,000","10,00,000",,#2
https://collegedunia.com/college/14554-pes-college-of-engineering-pesce-mandya,"5,30,000","14,50,000",,#3
https://collegedunia.com/college/45700-jntuk-university-college-of-engineering-kakinada-east-godavari,,"67,00,000",,#4
https://collegedunia.com/college/63058-government-medical-college-suryapet,,,,#5
https://collegedunia.com/college/59370-jb-institute-of-hospitality-management-jbihm-kolkata,,,,#6
https://collegedunia.com/college/63148-impact-school-of-architecture-isa-bangalore,"3,50,000","6,00,000",,#7
https://collegedunia.com/college/7665-kothiwal-dental-college-and-research-centre-kdcrc-moradabad,,,,#8
https://collegedunia.com/university/28203-ims-unison-university-iuu-dehradun,,"41,62,000",,#9
https://collegedunia.com/college/17471-datta-meghe-institute-of-management-studies-dmims-nagpur,"7,25,000","13,96,000",,#10
https://collegedunia.com/college/59551-drscgovt-medical-college-scgmc-nanded,,,,#1
https://collegedunia.com/college/56456-atharva-institute-of-management-studies-aims-mumbai,,"16,50,000",,#2
https://collegedunia.com/college/18917-sunder-deep-college-of-hotel-management-sdchm-ghaziabad,,,,#3
